Record ID,Sumber Feedback,Kanal Feedback,Tanggal Feedback,Tipe Stakeholder,Layanan,Rentang Waktu,Rating,Komentar,Tema Feedback,Customer Journey Hint,PIC Layanan,Lokasi,Tipe Instruktur
DEMO-20260330-0099,Operational Readiness Check,Google Form,2026-03-26,Sekolah / Universitas,Bootcamp Data untuk Dosen,1 Minggu Terakhir (Weekly),3,"Ruang Bootcamp Data untuk Dosen cukup nyaman, namun jaringan sesekali melambat saat peserta sekolah / universitas mengakses lab dan package.",facility,Persiapan dan Kesiapan Delivery,Education Partnership Manager,Yogyakarta,Internal
DEMO-20260330-0129,Account Review,WhatsApp,2026-03-26,Vendor / Partner,Kerja Sama Event,1 Minggu Terakhir (Weekly),4,"Tim account untuk Kerja Sama Event cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan vendor / partner berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Alliance Manager,Jakarta,Internal
DEMO-20260330-0037,Learning Evaluation,Google Form,2026-03-25,BUMN / Corporate,Pelatihan Cloud Native (AWS),1 Minggu Terakhir (Weekly),3,"Materi Pelatihan Cloud Native (AWS) cukup jelas, tetapi beberapa modul masih perlu diperbarui agar lebih relevan dengan kondisi terbaru untuk BUMN / corporate.",material,Pelaksanaan Layanan,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0007,Outcome Review,Interview,2026-03-25,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Minggu Terakhir (Weekly),1,"Setelah Pelatihan IT Security selesai, manfaat yang dirasakan belum kuat, tindak lanjut kurang jelas, dan output akhirnya belum mudah dipakai oleh tim instansi pemerintah.",outcome,Tindak Lanjut dan Outcome,Public Sector Account Lead,Yogyakarta,OL
DEMO-20260330-0067,Operational Readiness Check,On-site Form,2026-03-25,Mahasiswa / Personal,Bootcamp Data Science,1 Minggu Terakhir (Weekly),4,"Fasilitas ruang untuk Bootcamp Data Science nyaman, lab siap dipakai, dan wifi stabil sepanjang sesi untuk personal.",facility,Persiapan dan Kesiapan Delivery,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0097,Account Review,Email,2026-03-25,Sekolah / Universitas,Program Magang / Kunjungan Industri,1 Minggu Terakhir (Weekly),3,"Respons admin untuk Program Magang / Kunjungan Industri cukup cepat, tetapi follow up revisi dan update status masih perlu dibuat lebih konsisten untuk sekolah / universitas.",responsiveness,Pra-Layanan dan Ekspektasi,Education Partnership Manager,Yogyakarta,OL
DEMO-20260330-0134,Stakeholder Debrief,Email,2026-03-25,Vendor / Partner,Technical Sales Workshop,1 Minggu Terakhir (Weekly),2,"Komunikasi Technical Sales Workshop kurang rapi; informasi perubahan jadwal, brief teknis, dan update status tidak selalu tersampaikan ke semua PIC vendor / partner.",communication,Pra-Layanan dan Ekspektasi,Alliance Manager,Online Live,OL
DEMO-20260330-0035,Operational Readiness Check,Google Form,2026-03-24,BUMN / Corporate,Workshop AI Adoption Readiness,1 Minggu Terakhir (Weekly),3,"Ruang Workshop AI Adoption Readiness cukup nyaman, namun jaringan sesekali melambat saat peserta BUMN / corporate mengakses lab dan package.",facility,Persiapan dan Kesiapan Delivery,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0005,Learning Evaluation,LMS,2026-03-24,Instansi Pemerintah (Gov),Audit SPBE,1 Minggu Terakhir (Weekly),4,"Materi Audit SPBE relevan, modulnya terstruktur, dan contoh implementasinya mudah diterapkan setelah sesi selesai oleh instansi pemerintah.",material,Pelaksanaan Layanan,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0065,Account Review,WhatsApp,2026-03-24,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Minggu Terakhir (Weekly),1,"Tim account untuk Sertifikasi Cisco (CCNA) lambat merespons permintaan revisi dan follow up dari personal, sehingga timeline terasa mundur dari SLA yang dijanjikan.",responsiveness,Pra-Layanan dan Ekspektasi,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0102,Stakeholder Debrief,CRM,2026-03-24,Sekolah / Universitas,Bootcamp Data untuk Dosen,1 Minggu Terakhir (Weekly),1,"Komunikasi Bootcamp Data untuk Dosen kurang rapi; informasi perubahan jadwal, brief teknis, dan update status tidak selalu tersampaikan ke semua PIC sekolah / universitas.",communication,Pra-Layanan dan Ekspektasi,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0132,Post-Class Survey,Google Form,2026-03-24,Vendor / Partner,Kerja Sama Event,1 Minggu Terakhir (Weekly),5,"Instruktur Kerja Sama Event sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan vendor / partner.",instructor,Pelaksanaan Layanan,Alliance Manager,Online Live,Internal
DEMO-20260330-0033,Account Review,Email,2026-03-23,BUMN / Corporate,Konsultasi IT Masterplan,1 Minggu Terakhir (Weekly),2,"Tim account untuk Konsultasi IT Masterplan lambat merespons permintaan revisi dan follow up dari BUMN / corporate, sehingga timeline terasa mundur dari SLA yang dijanjikan.",responsiveness,Pra-Layanan dan Ekspektasi,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0003,Operational Readiness Check,On-site Form,2026-03-23,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,1 Minggu Terakhir (Weekly),1,"Fasilitas ruang untuk Workshop Tata Kelola Data kurang siap; wifi sering putus, AC tidak stabil, dan setup lab terlambat saat sesi dimulai untuk instansi pemerintah.",facility,Persiapan dan Kesiapan Delivery,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0070,Stakeholder Debrief,Email,2026-03-23,Mahasiswa / Personal,Bootcamp Data Science,1 Minggu Terakhir (Weekly),5,"Komunikasi pra-delivery Bootcamp Data Science rapi, brief jelas, dan semua update status diterima tepat waktu oleh tim personal.",communication,Pra-Layanan dan Ekspektasi,Retail Program Coordinator,Online Live,Internal
DEMO-20260330-0100,Post-Class Survey,LMS,2026-03-23,Sekolah / Universitas,Program Magang / Kunjungan Industri,1 Minggu Terakhir (Weekly),1,Instruktur Program Magang / Kunjungan Industri kurang konsisten menjawab pertanyaan lanjutan dan beberapa penjelasan terasa terlalu umum untuk kebutuhan sekolah / universitas.,instructor,Pelaksanaan Layanan,Education Partnership Manager,Semarang,OL
DEMO-20260330-0130,Project Coordination Log,Email,2026-03-23,Vendor / Partner,Enablement Partner Teknologi,1 Minggu Terakhir (Weekly),3,"Jadwal Enablement Partner Teknologi cukup sesuai, tetapi durasi sesi siang terasa padat dan jeda masih bisa diperbaiki untuk peserta vendor / partner.",schedule,Persiapan dan Kesiapan Delivery,Alliance Manager,Online Live,Internal
DEMO-20260330-0048,Executive Follow-up,Meeting Notes,2026-03-22,BUMN / Corporate,Pelatihan Cloud Native (AWS),1 Bulan Terakhir (Monthly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Corporate Delivery Lead,Bandung,OL
DEMO-20260330-0042,Project Coordination Log,Email,2026-03-22,BUMN / Corporate,Workshop AI Adoption Readiness,1 Bulan Terakhir (Monthly),2,"Jadwal Workshop AI Adoption Readiness terlalu padat, perubahan waktu mendadak, dan jeda antarsesi kurang memadai bagi peserta BUMN / corporate.",schedule,Persiapan dan Kesiapan Delivery,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0016,Executive Follow-up,Meeting Notes,2026-03-22,Instansi Pemerintah (Gov),Audit SPBE,1 Bulan Terakhir (Monthly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Public Sector Account Lead,Jakarta,OL
DEMO-20260330-0080,Executive Follow-up,Meeting Notes,2026-03-22,Mahasiswa / Personal,Pelatihan Web Dev,1 Bulan Terakhir (Monthly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Retail Program Coordinator,Online Live,OL
DEMO-20260330-0105,Account Review,WhatsApp,2026-03-22,Sekolah / Universitas,Pelatihan Dasar Cybersecurity,1 Bulan Terakhir (Monthly),4,"Tim account untuk Pelatihan Dasar Cybersecurity cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan sekolah / universitas berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0112,Executive Follow-up,Meeting Notes,2026-03-22,Sekolah / Universitas,Pelatihan Dasar Cybersecurity,1 Bulan Terakhir (Monthly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Education Partnership Manager,Yogyakarta,OL
DEMO-20260330-0144,Executive Follow-up,Meeting Notes,2026-03-22,Vendor / Partner,Enablement Partner Teknologi,1 Bulan Terakhir (Monthly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Alliance Manager,Online Live,OL
DEMO-20260330-0015,Outcome Review,CRM,2026-03-20,Instansi Pemerintah (Gov),Audit SPBE,1 Bulan Terakhir (Monthly),5,"Hasil Audit SPBE terasa actionable, membantu tim instansi pemerintah menindaklanjuti pekerjaan, dan output akhirnya bisa langsung dipakai.",outcome,Tindak Lanjut dan Outcome,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0078,Stakeholder Debrief,CRM,2026-03-20,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Bulan Terakhir (Monthly),4,"Komunikasi pra-delivery Sertifikasi Cisco (CCNA) rapi, brief jelas, dan semua update status diterima tepat waktu oleh tim personal.",communication,Pra-Layanan dan Ekspektasi,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0141,Learning Evaluation,Google Form,2026-03-20,Vendor / Partner,Technical Sales Workshop,1 Bulan Terakhir (Monthly),3,"Materi Technical Sales Workshop cukup jelas, tetapi beberapa modul masih perlu diperbarui agar lebih relevan dengan kondisi terbaru untuk vendor / partner.",material,Pelaksanaan Layanan,Alliance Manager,Online Live,OL
DEMO-20260330-0043,Operational Readiness Check,On-site Form,2026-03-19,BUMN / Corporate,Konsultasi IT Masterplan,1 Bulan Terakhir (Monthly),4,"Fasilitas ruang untuk Konsultasi IT Masterplan nyaman, lab siap dipakai, dan wifi stabil sepanjang sesi untuk BUMN / corporate.",facility,Persiapan dan Kesiapan Delivery,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0106,Project Coordination Log,Email,2026-03-19,Sekolah / Universitas,Bootcamp Data untuk Dosen,1 Bulan Terakhir (Monthly),2,"Jadwal Bootcamp Data untuk Dosen terlalu padat, perubahan waktu mendadak, dan jeda antarsesi kurang memadai bagi peserta sekolah / universitas.",schedule,Persiapan dan Kesiapan Delivery,Education Partnership Manager,Yogyakarta,Internal
DEMO-20260330-0079,Outcome Review,CRM,2026-03-17,Mahasiswa / Personal,Pelatihan Web Dev,1 Bulan Terakhir (Monthly),3,"Hasil Pelatihan Web Dev cukup membantu, tetapi tindak lanjut pasca-sesi masih perlu pendampingan agar manfaatnya lebih terasa untuk personal.",outcome,Tindak Lanjut dan Outcome,Retail Program Coordinator,Online Live,OL
DEMO-20260330-0142,Stakeholder Debrief,CRM,2026-03-17,Vendor / Partner,Kerja Sama Event,1 Bulan Terakhir (Monthly),1,"Komunikasi Kerja Sama Event kurang rapi; informasi perubahan jadwal, brief teknis, dan update status tidak selalu tersampaikan ke semua PIC vendor / partner.",communication,Pra-Layanan dan Ekspektasi,Alliance Manager,Jakarta,Internal
DEMO-20260330-0044,Post-Class Survey,Google Form,2026-03-16,BUMN / Corporate,Pelatihan Cloud Native (AWS),1 Bulan Terakhir (Monthly),2,Instruktur Pelatihan Cloud Native (AWS) kurang konsisten menjawab pertanyaan lanjutan dan beberapa penjelasan terasa terlalu umum untuk kebutuhan BUMN / corporate.,instructor,Pelaksanaan Layanan,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0107,Operational Readiness Check,On-site Form,2026-03-16,Sekolah / Universitas,Program Magang / Kunjungan Industri,1 Bulan Terakhir (Monthly),3,"Ruang Program Magang / Kunjungan Industri cukup nyaman, namun jaringan sesekali melambat saat peserta sekolah / universitas mengakses lab dan package.",facility,Persiapan dan Kesiapan Delivery,Education Partnership Manager,Semarang,OL
DEMO-20260330-0009,Account Review,Email,2026-03-15,Instansi Pemerintah (Gov),Audit SPBE,1 Bulan Terakhir (Monthly),5,"Tim account untuk Audit SPBE cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan instansi pemerintah berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0143,Outcome Review,CRM,2026-03-14,Vendor / Partner,Enablement Partner Teknologi,1 Bulan Terakhir (Monthly),5,"Hasil Enablement Partner Teknologi terasa actionable, membantu tim vendor / partner menindaklanjuti pekerjaan, dan output akhirnya bisa langsung dipakai.",outcome,Tindak Lanjut dan Outcome,Alliance Manager,Online Live,Internal
DEMO-20260330-0045,Learning Evaluation,LMS,2026-03-13,BUMN / Corporate,Workshop AI Adoption Readiness,1 Bulan Terakhir (Monthly),3,"Materi Workshop AI Adoption Readiness cukup jelas, tetapi beberapa modul masih perlu diperbarui agar lebih relevan dengan kondisi terbaru untuk BUMN / corporate.",material,Pelaksanaan Layanan,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0108,Post-Class Survey,Google Form,2026-03-13,Sekolah / Universitas,Pelatihan Dasar Cybersecurity,1 Bulan Terakhir (Monthly),5,"Instruktur Pelatihan Dasar Cybersecurity sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan sekolah / universitas.",instructor,Pelaksanaan Layanan,Education Partnership Manager,Yogyakarta,Internal
DEMO-20260330-0010,Project Coordination Log,Google Form,2026-03-12,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,1 Bulan Terakhir (Monthly),3,"Jadwal Workshop Tata Kelola Data cukup sesuai, tetapi durasi sesi siang terasa padat dan jeda masih bisa diperbaiki untuk peserta instansi pemerintah.",schedule,Persiapan dan Kesiapan Delivery,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0073,Account Review,Email,2026-03-12,Mahasiswa / Personal,Pelatihan Web Dev,1 Bulan Terakhir (Monthly),2,"Tim account untuk Pelatihan Web Dev lambat merespons permintaan revisi dan follow up dari personal, sehingga timeline terasa mundur dari SLA yang dijanjikan.",responsiveness,Pra-Layanan dan Ekspektasi,Retail Program Coordinator,Online Live,OL
DEMO-20260330-0046,Stakeholder Debrief,Email,2026-03-10,BUMN / Corporate,Konsultasi IT Masterplan,1 Bulan Terakhir (Monthly),5,"Komunikasi pra-delivery Konsultasi IT Masterplan rapi, brief jelas, dan semua update status diterima tepat waktu oleh tim BUMN / corporate.",communication,Pra-Layanan dan Ekspektasi,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0109,Learning Evaluation,LMS,2026-03-10,Sekolah / Universitas,Bootcamp Data untuk Dosen,1 Bulan Terakhir (Monthly),4,"Materi Bootcamp Data untuk Dosen relevan, modulnya terstruktur, dan contoh implementasinya mudah diterapkan setelah sesi selesai oleh sekolah / universitas.",material,Pelaksanaan Layanan,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0011,Operational Readiness Check,Google Form,2026-03-09,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Bulan Terakhir (Monthly),2,"Fasilitas ruang untuk Pelatihan IT Security kurang siap; wifi sering putus, AC tidak stabil, dan setup lab terlambat saat sesi dimulai untuk instansi pemerintah.",facility,Persiapan dan Kesiapan Delivery,Public Sector Account Lead,Jakarta,OL
DEMO-20260330-0074,Project Coordination Log,Google Form,2026-03-09,Mahasiswa / Personal,Bootcamp Data Science,1 Bulan Terakhir (Monthly),4,"Jadwal Bootcamp Data Science tertata rapi, durasi sesi pas, dan jeda antarsesi cukup untuk menjaga fokus peserta personal.",schedule,Persiapan dan Kesiapan Delivery,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0137,Account Review,Email,2026-03-09,Vendor / Partner,Enablement Partner Teknologi,1 Bulan Terakhir (Monthly),2,"Tim account untuk Enablement Partner Teknologi lambat merespons permintaan revisi dan follow up dari vendor / partner, sehingga timeline terasa mundur dari SLA yang dijanjikan.",responsiveness,Pra-Layanan dan Ekspektasi,Alliance Manager,Online Live,Internal
DEMO-20260330-0047,Outcome Review,Interview,2026-03-07,BUMN / Corporate,Pelatihan Cloud Native (AWS),1 Bulan Terakhir (Monthly),4,"Hasil Pelatihan Cloud Native (AWS) terasa actionable, membantu tim BUMN / corporate menindaklanjuti pekerjaan, dan output akhirnya bisa langsung dipakai.",outcome,Tindak Lanjut dan Outcome,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0110,Stakeholder Debrief,Email,2026-03-07,Sekolah / Universitas,Program Magang / Kunjungan Industri,1 Bulan Terakhir (Monthly),3,"Komunikasi untuk Program Magang / Kunjungan Industri cukup jelas, namun update perubahan kecil belum selalu dibagikan ke seluruh PIC sekolah / universitas.",communication,Pra-Layanan dan Ekspektasi,Education Partnership Manager,Yogyakarta,OL
DEMO-20260330-0012,Post-Class Survey,LMS,2026-03-06,Instansi Pemerintah (Gov),Audit SPBE,1 Bulan Terakhir (Monthly),4,"Instruktur Audit SPBE sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan instansi pemerintah.",instructor,Pelaksanaan Layanan,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0075,Operational Readiness Check,Google Form,2026-03-06,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Bulan Terakhir (Monthly),2,"Fasilitas ruang untuk Sertifikasi Cisco (CCNA) kurang siap; wifi sering putus, AC tidak stabil, dan setup lab terlambat saat sesi dimulai untuk personal.",facility,Persiapan dan Kesiapan Delivery,Retail Program Coordinator,Online Live,Internal
DEMO-20260330-0138,Project Coordination Log,Google Form,2026-03-06,Vendor / Partner,Technical Sales Workshop,1 Bulan Terakhir (Monthly),3,"Jadwal Technical Sales Workshop cukup sesuai, tetapi durasi sesi siang terasa padat dan jeda masih bisa diperbaiki untuk peserta vendor / partner.",schedule,Persiapan dan Kesiapan Delivery,Alliance Manager,Jakarta,OL
